name;definition;unit;name in code;english name;who
A_LAI;shapes of the senescence curve;SD;;;DR
absodrp;variable relecting the nitrogen status of the crop from the starting date of filling of harvested organs;SD;absodrp;;FF
absz;actual N uptake in each elementary soil layer;kg N ha-1 day-1;absz;;FF
albsol;albedo of the soil;SD;albsol;;ML
alloresp;daily coeffiscient of allocation of remobilised biomass between structural and reserves pools of perennial organs;SD;alloresp;;LS
amplsurf;daily thermal amplitude at the surface;degreesC;amplsurf;;JL
amplz;daily thermal amplitude;degreesC;amplz;;JL
azorac;amount of mineral nitrogen in the rooting zone;kg N ha-1;azorac;;FF
B_LAI;shapes of the growth curve;SD;;;DR
bpsisol;retention curve parameter 2;SD;bpsisol;;JL
CCper;carbon concentration in perennial organs;g C kg-1 DM;CCper;;FF
CCrac;carbon concentration in roots;g C kg-1 DM;CCRac;;FF
coeflev;ratio between the emerged and the germinated density depending on non-optimal water content and temperature conditions;SD;coeflev (l.268 de Stics_levee.f90);;DR
coeflevb;ratio between the emerged and the germinated density depending on the crust layer;SD;coeflev (l.270 de Stics_levee.f90);;ML
concN;mean nitrate concentration in each elementary soil layer;kg N ha-1 mm-1 water;concN;;FF
conv;daily convection flow of N in each elementary soil layer;kg N ha-1 day-1;conv;;FF
crust;indicator of crust conditions at the soil surface;0/1;null;;DR
CsurNper;C/N ratio of the storage organs;SD;;;DR
CsurNresid;C/N ratio of falling leaves;SD;CsurNresid;CN_ratio_falling_leaves;DR
CsurNressuite;C/N ratio of calculated crop residue for the next crop;SD;CsurNressuite;CN_ratio_residu_returning_in_soil;DR
CsurNsol;C to N ratio of soil throughout time;SD;CsurNsol;;FF
cuh;chilling hourly units;degrees C;cuh;;DR
cumoffrN;sum of nitrogen soil supply over the profile;kg N ha-1;cumoffrN;sum_soil_N_supply;DR
da;bulk soil density;g cm-3;daz??;bulk_soil_density;AM
DELTABSO;nitrogen dependant biomass growth;t ha-1 day-1;?;;AM variable
deltai_1;daily increase of the green leaf index for determinate crops;m2 leaf m-2 soil;?;;AM
deltai_2;daily increase of the green leaf index for indeterminate crops;m2 leaf m-2 soil;?;;AM
deltai_dens; density component of deltai; plant m-2; ??; density_component_deltai;AM
deltai_dev;phasic development component of deltai;m2 plant-1 degree.day-1;;deltai_dev;AM
deltai_stress;stress component of deltai;SD;;deltai_stress;AM
deltai_T;thermal component of deltai;degree.days;;deltai_T;AM
deltaimax;maximum increase in leaf expansion;m2 leaf m-2 soil;?;;AM
DELTAMSRESEN;senescence rate of residual dry matter after forage crop cutting;t DM ha-1 day-1;?;;AM
deltat;gradient of the relationship between saturation pressure and temperature;mbars;deltat;saturation_deficit;DR
deltatemp;difference in mean daily temperature inside and outside a greenhouse;degrees C;deltatemp;;ML
deltaz_stress;Stress component of deltaz;SD;??;stress_component_deltaz;AM
deltaz_T;Thermal component of deltaz;cm day-1;??;thermal_component_deltaz;AM
densiteger;density of germinated plants;plants.m-2;densiteger;;ML
densitelev;density of emerged plants;plants.m-2;densitelev;;ML
diff;diffusion flow of N in each elementary soil layer;kg N ha-1 day-1;diff;;FF
difNe;effective diffusion coefficient of nitrate in soil;cm2 day-1;diff;;FF
dltafv;daily biomass partitioning to the structural part of green leaves;t DM ha-1;dltafv;;LS
dltamsrac;daily root gowth;t DM ha-1 day-1;dltamsrac;;FF
dltamsracmort;daily dead root biomass on the root depth;t DM ha-1 day-1;dltamsracmort;dailydeadrootbiomass?;DR
dltaQCracmort; Cumulative amount of C lost by dead roots over the soil profile;kg N ha-1 day-1;;;DR
dltaQNracmort; Cumulative amount of N lost by dead roots over the soil profile;kg N ha-1 day-1;;;DR
dltaremobsen;daily biomass remobilised during leaves senescence;t DM ha-1;dltaremobsen;;LS
dltares;daily biomass partitioning to the temporary reserves;t DM ha-1;deltares;;LS
dltaresper;daily biomass remobilised from temporary reserves allocated to perennial organs reserves;t DM ha-1;dltaresper;;LS
dltarestemp;daily biomass remobilised from temporary reserves to perennial organs;t DM ha-1;dltarestemp;;LS
dltarestemp2;daily biomass remobilised from temporary reserves to perennial organs;t DM ha-1;dltarestemp;;LS
dltat;daily biomass partitioning to the structural part of stems;t DM ha-1;dltat;;LS
dos;saturation deficit within the canopy;mbars;dos;;ML
dpHvol;increase of soil pH after manure application;SD;dpHvol;;FF
dpHvolm;maximum pH increase following the application of slurry (taking into account the amount of inorganic N applied) ;SD;dpHvolm;;FF
drlsenf;length of dead fine roots in layer iz on day n;cm cm-2 soil;;;DR
drlseng;length of dead coarse roots in layer iz on day n;cm cm-2 soil;;;DR
dsat;air saturation deficit;mbars;dsat;air_saturation_deficit;DR
DURAGE;natural lifespan of leaves;Q10;?;;AM
DURVIEFv;maximal lifespan of an adult leaf;Q10;?;;AM
DURVIEIp;lifespan of a young leal (at the AMF stage) expressed as a proportion of DURVIEF;SD;?;;AM
E;snow compaction parameter;mm mm-1 day-1;E;E_snow_compaction;DR
Edirectm;maximum value of Edirect;mm day-1;Edirectm;;ML
effN;Nitrogen use efficiency;SD;effN;NUE;DR
elong;elongation of the coleoptile;cm;elong;;DR
emissa;emissivity of the atmosphere;0-1;emissa;;ML
epz;daily transpiration flow in each elementary soil layer;mm day-1;epz;;FF
ePT(t);potential evapotranspiration according to Priestley-Taylor formula;mm day-1;pas dans le code;;ML
estimet;evapotranspiration estimated from the water balance for the previous day and the climatic demand of the day in case of greenhouse;mm day-1;estimet;;ML
esz;evaporation soil profile;mm day-1 cm-1;esz;;ML
etmax;maximum value of daily evaporation flux;W m-2;etmax;;ML
etmin;minimum value of daily evaporation flux;W m-2;etmin;;ML
FGELJUV;frost index acting on LAI during the juvenile phase;SD;?;;AM
fgellev;frost index acting on plant density during the plantlet phase;SD;fgellev;;DR
FGELVEG;frost index acting on LAI during the vegetative phase;SD;?;;AM
fh;moisture factor on humus and residue decomposition rates;SD;fh;;FF
fluxrac;potential N uptake rate in each elementary soil layer;kg N ha-1 day-1;fluxrac;;FF
fluxsol;daily soil N supply in each elementary soil layer;kg N ha-1 day-1;fluxsol;;FF
FPH;soil pH effect on the volatilisation;pH;volmax;volatilisation_pH_reduction;DR
Fr;ratio of rain in repartition between rain and snow rain;0-1;?;;DR
fracinsol;insolation fraction;0-1;fracinsol;;ML
fruis;proportion of run-off water above the activation threshold (pminruis);SD;fruis;;ML
Fs;ratio of snow in repartition between rain and snow rain;0-1;fs;;DR
ftempremp;thermal stress index as a function of temperature using cardinal temperatures (tminremp et tmaxremp);0-1;ftempremp;;PL
FsNH3;potential ammonia volatilization rate;microgram m-2 day-1;FsNH3;;FF
fth;temperature factor on humus mineralisation rate;SD;fth;;FF
ftr;temperature factor on residue decomposition rate;SD;ftr;;FF
gamma;psychrometrc constant;mb degreeC-1;gamma;gamma_psychometric_constant;DR
gmax;maximum value of daily soil heat flux;W m-2;GMAX;;ML
gmin;minimum value of daily soil heat flux;W m-2;GMIN;;ML
grainsnb;number of grains per square meter;grains m-2;??;grainsnb;BD
ha;residual soil water content  in the sed bed;mm water cm soil-1;ha;;ML
HB;soil layer between the seedbe and the root front;cm;null;;DR
hn;wilting point mean in the seed bed;mm water cm soil-1;hn;;DR
hucc;elementary layer soil water content at field capacity;mm water cm soil-1;hucc;;JL
HCUM;available water over the rooting zone;mm water g soil-1 x 100;pas dans le code;;ML
humin;elementary layer soil water content at wilting point;mm water cm soil-1;humin;;JL
humirac;influence of soil water content on germination and root growth;SD;humirac;soil_water_content_germination_roor;AM
humsol;soil moisture;mm water cm soil-1;humsol;;DR
hur;microporosity elementary layer soil water content;mm water cm soil-1;hur;;JL
hx;mean water content at field capacity in the sed bed;mm water cm soil-1;hx;;DR
ilets;date of the plantlet stage;days;ilets;;DR
IMB;date of the beginning of seed moistening;days;null;;DR
INNI;instantaneous nitrogen index;SD;?;;AM variable
jvi;vernalizing contribution of a given day;nb days;;;ML
K;melting rate;mm degrees C-1 day-1;K;K_snow;DR
